Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Explanation
"Cuando recibes mucha informacion nueva, que haces primero?","La repito sin orden","Busco patrones o grupos","Espero a que el docente diga que memorizar","Copio todo literalmente","Busco patrones o grupos",30,"Agrupar informacion reduce carga mental y facilita recordar."
"Cual es la mejor diferencia entre dato e informacion?","El dato es bonito y la informacion es larga","El dato esta aislado; la informacion tiene contexto y sentido","Son exactamente lo mismo","La informacion siempre es numerica","El dato esta aislado; la informacion tiene contexto y sentido",30,"Procesar informacion implica dar contexto, relacion y proposito a los datos."
"Un cliente reclama porque su paquete llego tarde. Que documento inicia mejor la gestion?","Acta de junta directiva","Respuesta formal o registro de queja","Diploma","Contrato laboral","Respuesta formal o registro de queja",30,"La queja requiere registro, respuesta y trazabilidad."
"La memoria de trabajo sirve para...","Guardar todo para siempre","Mantener poca informacion activa mientras pensamos","Eliminar documentos","Reemplazar los archivos de una empresa","Mantener poca informacion activa mientras pensamos",30,"Por eso los documentos ayudan a liberar memoria y ordenar decisiones."
"Un documento administrativo de calidad debe tener...","Mucho texto y palabras dificiles","Proposito, destinatario, estructura y claridad","Decoracion visual","Solo buena ortografia","Proposito, destinatario, estructura y claridad",30,"La calidad documental depende de utilidad, claridad y forma."
"Que evidencia muestra que una decision no fue improvisada?","Un audio informal","Una opinion sin soporte","Una matriz de hallazgos o memo de decision","Un mensaje sin fecha","Una matriz de hallazgos o memo de decision",30,"La trazabilidad conecta hechos, criterios y decision."
"Cual nombre de archivo permite recuperar mejor informacion?","documento_final_final2.docx","nuevo.docx","2026-06-08_queja_cliente_123_respuesta.docx","archivo.docx","2026-06-08_queja_cliente_123_respuesta.docx",30,"Fecha, tema e identificador ayudan a buscar y auditar."
"Si una IA mejora la redaccion pero inventa un dato, el documento es confiable?","Si, porque suena mejor","No, porque rompe la evidencia","Depende del color del formato","Si, si es mas largo","No, porque rompe la evidencia",30,"La IA puede ayudar a redactar, pero no debe fabricar hechos."
"Comprender un tema en clase garantiza recordarlo despues.","Verdadero","Falso","Solo si hay diapositivas","Solo si el tema es facil","Falso",30,"Recordar requiere recuperacion, practica y uso."
"Que necesitas aprender sobre tu forma de pensar para procesar mejor informacion?","Que nunca debo equivocarme","Que estrategia me ayuda a atender, organizar y recuperar informacion","Que memorizar siempre esta prohibido","Que solo importa entregar rapido","Que estrategia me ayuda a atender, organizar y recuperar informacion",30,"La metacognicion ayuda a escoger estrategias de estudio y trabajo."
